Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2021-09-10 00:00:00.0;;30;1009.202;11.26422
2021-09-11 00:00:00.0;16.96944;67;1002.968;16.33728
2021-09-12 00:00:00.0;24.31181;56;993.7224;15.42384
2021-09-13 00:00:00.0;24.22013;72;994.8055;15.17526
2021-09-14 00:00:00.0;17.47222;50;1009.129;17.28018
2021-09-15 00:00:00.0;13.45209;51;1012.765;16.78614
2021-09-16 00:00:00.0;15.6007;51;1012.857;17.2848
2021-09-17 00:00:00.0;17.80763;67;1005.879;16.5945
2021-09-18 00:00:00.0;17.5375;92;1002.227;4.44456
2021-09-19 00:00:00.0;21.90764;76;996.1921;12.30858
2021-09-20 00:00:00.0;20.98612;74;1004.325;7.56306
2021-09-21 00:00:00.0;17.37361;62;1014.365;13.31364
2021-09-22 00:00:00.0;15.05208;60;1009.298;15.32616
2021-09-23 00:00:00.0;17.71597;64;1010.109;17.89338
2021-09-24 00:00:00.0;17.21944;64;1010.741;18.15384
2021-09-25 00:00:00.0;18.35695;60;1006.023;18.65994
2021-09-26 00:00:00.0;20.84097;55;1002.933;18.35388
2021-09-27 00:00:00.0;23.00138;49;1002.21;16.7979
2021-09-28 00:00:00.0;19.75;90;1005.118;1.51554
2021-09-29 00:00:00.0;18.33264;87;1004.078;8.005321
2021-09-30 00:00:00.0;23.03194;77;996.4241;11.96004
2021-10-01 00:00:00.0;20.61805;65;1002.252;16.56924
2021-10-02 00:00:00.0;20.68124;74;997.4106;15.16164
2021-10-03 00:00:00.0;16.41597;51;1006.029;8.22648
2021-10-04 00:00:00.0;14.18611;53;1009.304;19.41744
2021-10-05 00:00:00.0;16.3875;52;1004.4;19.26762
2021-10-06 00:00:00.0;20.30556;48;1005.952;9.882898
2021-10-07 00:00:00.0;18.05417;48;1007.651;18.29424
2021-10-08 00:00:00.0;18.93056;46;1003.395;12.57138
2021-10-09 00:00:00.0;20.29167;52;1004.205;18.92214
2021-10-10 00:00:00.0;18.42222;92;1004.185;6.57786
2021-10-11 00:00:00.0;20.40208;78;1005.443;13.431
2021-10-12 00:00:00.0;21.93334;59;1000.072;19.38552
2021-10-13 00:00:00.0;21.58611;77;994.8909;8.1189
2021-10-14 00:00:00.0;18.73125;78;995.9487;13.5099
2021-10-15 00:00:00.0;16.72778;51;1009.909;19.70292
2021-10-16 00:00:00.0;15.11805;56;1011.862;19.81572
2021-10-17 00:00:00.0;17.21666;53;1008.957;21.12642
2021-10-18 00:00:00.0;19.02222;54;1010.519;19.13364
2021-10-19 00:00:00.0;20.2375;46;1009.366;21.34962
2021-10-20 00:00:00.0;21.21597;47;1006.055;21.35076
2021-10-21 00:00:00.0;21.34792;49;1003.447;21.65676
2021-10-22 00:00:00.0;23.14166;46;996.3513;19.38072
2021-10-23 00:00:00.0;20.69722;72;996.9563;12.19656
2021-10-24 00:00:00.0;19.14792;53;1007.221;22.1847
2021-10-25 00:00:00.0;22.61805;43;1004.247;22.07532
2021-10-26 00:00:00.0;25.30625;43;1004.267;22.28088
2021-10-27 00:00:00.0;25.42708;44;1005.563;21.92544
2021-10-28 00:00:00.0;27.5875;39;1005.555;21.0822
2021-10-29 00:00:00.0;27.11667;43;1001.788;18.64464
2021-10-30 00:00:00.0;28.575;52;999.8648;20.7153
2021-10-31 00:00:00.0;28.32084;58;1001.86;16.6884
2021-11-01 00:00:00.0;22.27708;80;1003.296;7.714499
2021-11-02 00:00:00.0;18.50001;99;1004.519;0.37662
2021-11-03 00:00:00.0;20.81181;84;999.6251;16.1043
2021-11-04 00:00:00.0;25.69445;73;996.4167;18.0906
2021-12-08 00:00:00.0;25.94444;52;1002.725;23.5482
2021-12-09 00:00:00.0;27.16458;48;1002.014;22.51836
2021-12-10 00:00:00.0;22.98055;66;999.9908;8.534818
2021-12-11 00:00:00.0;23.91944;69;995.0194;15.0729
